                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2196,                 2.3815,                 1.4788,                0.82312,                 0.6455,                0.72281,                0.47489,                 1.2388,                 1.5474,                 1.5355,               0.070069,              0.0033257,              0.0033257
                      1,                 1.2277,                 1.5681,                 1.4492,                0.72457,                0.64959,                0.69395,                0.41642,                 1.3712,                 1.5101,                 1.6535,               0.039937,              0.0065271,              0.0065271
                      2,                 1.2942,                 1.5619,                 1.4994,                0.63596,                0.51339,                0.53827,                0.28476,                 1.7179,                 1.9698,                 2.1258,              0.0096734,              0.0095966,              0.0095966
                      3,                 1.3322,                 1.5389,                 1.5241,                0.72654,                0.61054,                0.67892,                0.39187,                 1.4989,                 1.4794,                 1.7796,               0.009406,               0.009406,               0.009406
                      4,                 1.3108,                 1.4651,                 1.5146,                0.78827,                0.59831,                0.69937,                0.43439,                 1.3902,                 1.4909,                 1.7126,               0.009406,               0.009406,               0.009406
                      5,                 1.2583,                 1.3477,                 1.4726,                0.77153,                0.64468,                0.72682,                0.43783,                 1.4426,                 1.3352,                 1.8239,               0.009208,               0.009208,               0.009208
                      6,                 1.2313,                 1.2806,                 1.4571,                0.83325,                 0.6735,                0.77075,                0.49148,                 1.2929,                 1.1666,                 1.5995,                0.00901,                0.00901,                0.00901
                      7,                 1.1867,                 1.1964,                  1.427,                0.82751,                0.70134,                0.79878,                0.51734,                 1.2557,                 1.0857,                  1.525,               0.008812,               0.008812,               0.008812
                      8,                 1.1719,                 1.1785,                 1.4184,                0.85478,                0.69907,                0.80258,                0.53278,                 1.2099,                 1.0601,                 1.5405,               0.008614,               0.008614,               0.008614
                      9,                 1.1466,                 1.1365,                 1.4003,                0.85526,                0.74037,                0.83988,                0.57353,                 1.1379,                0.95131,                 1.4291,               0.008416,               0.008416,               0.008416
                     10,                 1.1336,                 1.0888,                 1.3858,                0.86266,                0.77702,                0.85676,                0.57933,                 1.1267,                0.87543,                 1.4162,               0.008218,               0.008218,               0.008218
                     11,                 1.1143,                 1.0641,                 1.3649,                0.89503,                0.75166,                 0.8578,                0.59275,                 1.1072,                0.84331,                 1.4229,                0.00802,                0.00802,                0.00802
                     12,                 1.0972,                 1.0404,                 1.3586,                0.86605,                0.79826,                0.87054,                0.60947,                 1.0696,                0.80537,                  1.377,               0.007822,               0.007822,               0.007822
                     13,                 1.0746,                0.99998,                 1.3432,                0.88977,                0.77874,                0.86762,                0.61835,                 1.0468,                0.79836,                 1.3475,               0.007624,               0.007624,               0.007624
                     14,                 1.0641,                0.99396,                 1.3345,                0.86046,                0.79595,                0.87029,                0.62747,                 1.0209,                0.76847,                 1.3286,               0.007426,               0.007426,               0.007426
                     15,                 1.0552,                0.96258,                 1.3287,                 0.9044,                0.81207,                0.89169,                0.64128,                 1.0081,                0.72414,                 1.3106,               0.007228,               0.007228,               0.007228
                     16,                  1.048,                0.94961,                 1.3182,                0.87978,                0.82487,                0.89159,                0.64907,                0.98947,                0.71244,                 1.2989,                0.00703,                0.00703,                0.00703
                     17,                 1.0235,                0.92757,                 1.3141,                0.88752,                0.81831,                 0.8905,                0.65382,                0.97499,                0.72981,                 1.2866,               0.006832,               0.006832,               0.006832
                     18,                 1.0116,                0.90738,                  1.302,                0.89496,                0.81292,                0.89053,                0.65199,                0.98166,                0.69822,                 1.2949,               0.006634,               0.006634,               0.006634
                     19,                0.99853,                0.88001,                 1.2897,                0.89314,                0.82165,                0.89442,                0.65349,                 0.9707,                0.68372,                 1.2858,               0.006436,               0.006436,               0.006436
                     20,                0.99039,                0.87275,                 1.2858,                0.89862,                0.80115,                0.88933,                0.65448,                0.95916,                0.69556,                 1.2726,               0.006238,               0.006238,               0.006238
                     21,                0.98105,                0.86634,                 1.2787,                0.90897,                0.82086,                0.90259,                0.66974,                0.94081,                0.66132,                 1.2634,                0.00604,                0.00604,                0.00604
                     22,                0.98006,                0.85188,                 1.2724,                0.91677,                0.82328,                0.90255,                0.67195,                0.92025,                0.65207,                 1.2401,               0.005842,               0.005842,               0.005842
                     23,                 0.9677,                0.84338,                 1.2677,                0.91398,                0.83851,                0.90725,                0.68382,                0.91482,                 0.6305,                 1.2389,               0.005644,               0.005644,               0.005644
                     24,                0.94825,                0.82051,                 1.2604,                0.91681,                0.83847,                0.91044,                0.69039,                0.89683,                0.61142,                 1.2178,               0.005446,               0.005446,               0.005446
                     25,                0.94149,                0.80642,                 1.2497,                0.91574,                0.83445,                0.90755,                0.69072,                0.89203,                0.60765,                 1.2119,               0.005248,               0.005248,               0.005248
                     26,                0.93738,                0.79996,                 1.2469,                0.91764,                0.84408,                0.91325,                0.70006,                0.86283,                0.59589,                 1.1906,                0.00505,                0.00505,                0.00505
                     27,                0.93101,                0.79547,                 1.2448,                  0.913,                 0.8474,                0.91009,                0.69928,                0.86269,                 0.5825,                 1.1889,               0.004852,               0.004852,               0.004852
                     28,                0.91729,                0.77556,                 1.2341,                0.93342,                0.84879,                0.92067,                0.71024,                0.85145,                0.56771,                 1.1756,               0.004654,               0.004654,               0.004654
                     29,                0.90273,                0.75521,                 1.2238,                0.92255,                0.85615,                 0.9213,                0.71473,                0.83417,                0.55334,                 1.1625,               0.004456,               0.004456,               0.004456
