                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2202,                 2.3925,                 1.4807,                0.75176,                0.64892,                0.70688,                0.45319,                   1.26,                 1.5937,                 1.5457,               0.070069,              0.0033257,              0.0033257
                      1,                   1.23,                 1.5701,                 1.4525,                0.72678,                0.63893,                0.69021,                  0.407,                 1.3982,                  1.629,                 1.7143,               0.040047,               0.006637,               0.006637
                      2,                 1.3048,                  1.553,                 1.5037,                0.67865,                0.45979,                0.50702,                0.27694,                  1.724,                 2.0916,                 2.1788,               0.010003,              0.0099264,              0.0099264
                      3,                 1.3444,                 1.5478,                 1.5342,                0.72139,                0.59257,                0.68378,                0.39927,                 1.4248,                 1.5734,                 1.7076,               0.009901,               0.009901,               0.009901
                      4,                 1.3209,                 1.4523,                 1.5129,                0.82191,                0.65967,                0.77141,                 0.4886,                 1.2924,                 1.2249,                 1.5827,               0.009901,               0.009901,               0.009901
                      5,                  1.266,                 1.3493,                 1.4811,                0.80475,                0.67756,                 0.7762,                0.49731,                 1.2871,                 1.1642,                 1.5742,               0.009868,               0.009868,               0.009868
                      6,                 1.2498,                 1.2988,                 1.4698,                0.82205,                 0.6874,                 0.7876,                0.51551,                 1.2374,                 1.1269,                 1.5265,               0.009835,               0.009835,               0.009835
                      7,                 1.2133,                 1.2419,                 1.4488,                0.84308,                0.72781,                0.81399,                0.52924,                 1.1999,                 1.0499,                 1.5041,               0.009802,               0.009802,               0.009802
                      8,                 1.1969,                 1.1963,                 1.4324,                0.87866,                0.71696,                0.83083,                0.54544,                 1.1865,                0.95425,                 1.4644,               0.009769,               0.009769,               0.009769
                      9,                 1.1706,                 1.1511,                 1.4131,                0.86291,                0.72186,                0.83357,                0.56906,                 1.1347,                0.95944,                 1.4264,               0.009736,               0.009736,               0.009736
                     10,                 1.1631,                 1.1365,                 1.4087,                0.82802,                0.75906,                0.84177,                0.57252,                 1.1262,                0.92227,                 1.4276,               0.009703,               0.009703,               0.009703
                     11,                 1.1486,                 1.0974,                 1.3896,                0.86537,                0.77924,                0.85652,                0.58939,                 1.1005,                0.84751,                 1.4155,                0.00967,                0.00967,                0.00967
